,Algorithm,Starting Station,Ending Station,No of Nodes Visited,Execution Time(Milliseconds),No of Stations in Path,Path
1,BFS,Euston,Victoria,32,0.054,7,"['Euston', 'Warren Street', 'Oxford Circus', 'Green Park', 'Victoria']"
2,UCS,Euston,Victoria,31,0.541,7,"['Euston', 'Warren Street', 'Oxford Circus', 'Green Park', 'Victoria']"
3,UCS improved,Euston,Victoria,20,0.434,7,"['Euston', 'Warren Street', 'Oxford Circus', 'Green Park', 'Victoria']"
4,Heuristic,Euston,Victoria,27,0.7,7,"['Euston', 'Warren Street', 'Oxford Circus', 'Green Park', 'Victoria']"
5,DFS Non-Recursive,Euston,Victoria,26,0.05,13,"['Euston', ""King's Cross St. Pancras"", 'Russell Square', 'Holborn', 'Covent Garden', 'Leicester Square', 'Piccadilly Circus', 'Green Park', 'Victoria']"
7,BFS,Canada Water,Stratford,37,0.063,15,"['Canada Water', 'Canary Wharf', 'North Greenwich', 'Canning Town', 'West Ham', 'Stratford']"
8,UCS,Canada Water,Stratford,38,0.739,14,"['Canada Water', 'Rotherhithe', 'Wapping', 'Shadwell', 'Whitechapel', 'Stepney Green', 'Mile End', 'Stratford']"
9,UCS improved,Canada Water,Stratford,30,0.768,15,"['Canada Water', 'Canary Wharf', 'North Greenwich', 'Canning Town', 'West Ham', 'Stratford']"
10,Heuristic,Canada Water,Stratford,39,1.113,14,"['Canada Water', 'Rotherhithe', 'Wapping', 'Shadwell', 'Whitechapel', 'Stepney Green', 'Mile End', 'Stratford']"
11,DFS Non-Recursive,Canada Water,Stratford,7,0.021,15,"['Canada Water', 'Canary Wharf', 'North Greenwich', 'Canning Town', 'West Ham', 'Stratford']"
13,BFS,New Cross Gate,Stepney Green,24,0.041,14,"['New Cross Gate', 'Surrey Quays', 'Canada Water', 'Rotherhithe', 'Wapping', 'Shadwell', 'Whitechapel', 'Stepney Green']"
14,UCS,New Cross Gate,Stepney Green,15,0.845,14,"['New Cross Gate', 'Surrey Quays', 'Canada Water', 'Rotherhithe', 'Wapping', 'Shadwell', 'Whitechapel', 'Stepney Green']"
15,UCS improved,New Cross Gate,Stepney Green,18,0.516,14,"['New Cross Gate', 'Surrey Quays', 'Canada Water', 'Rotherhithe', 'Wapping', 'Shadwell', 'Whitechapel', 'Stepney Green']"
16,Heuristic,New Cross Gate,Stepney Green,16,0.498,14,"['New Cross Gate', 'Surrey Quays', 'Canada Water', 'Rotherhithe', 'Wapping', 'Shadwell', 'Whitechapel', 'Stepney Green']"
17,DFS Non-Recursive,New Cross Gate,Stepney Green,33,0.057,27,"['New Cross Gate', 'Surrey Quays', 'Canada Water', 'Canary Wharf', 'North Greenwich', 'Canning Town', 'West Ham', 'Stratford', 'Mile End', 'Stepney Green']"
19,BFS,Ealing Broadway,South Kensington,49,0.097,20,"['Ealing Broadway', 'Ealing Common', 'Acton Town', 'Turnham Green', 'Hammersmith', 'Barons Court', ""Earls' Court"", 'Gloucester Road', 'South Kensington']"
20,UCS,Ealing Broadway,South Kensington,51,1.121,20,"['Ealing Broadway', 'Ealing Common', 'Acton Town', 'Turnham Green', 'Hammersmith', 'Barons Court', ""Earls' Court"", 'Gloucester Road', 'South Kensington']"
21,UCS improved,Ealing Broadway,South Kensington,47,1.481,20,"['Ealing Broadway', 'Ealing Common', 'Acton Town', 'Turnham Green', 'Hammersmith', 'Barons Court', ""Earls' Court"", 'Gloucester Road', 'South Kensington']"
22,Heuristic,Ealing Broadway,South Kensington,52,1.746,20,"['Ealing Broadway', 'Ealing Common', 'Acton Town', 'Turnham Green', 'Hammersmith', 'Barons Court', ""Earls' Court"", 'Gloucester Road', 'South Kensington']"
